,parametro,AM,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
0,ph,RL (Todas var.),0.16,0.0,0.0,0.12,0.15,0.0,0.0,0.08
1,ph,RF (Todas var.),0.11,0.0,0.0,0.53,0.16,0.0,0.0,0.06
2,ph,MLP (Todas var.),2.15,0.02,0.01,0.2,2.19,0.02,0.01,0.05
3,ph,LSTM (Todas var.),1.3,0.01,0.01,0.13,1.32,0.01,0.01,0.06
4,coliformes,RL (Todas var.),46.31,1.05,0.0,0.08,53.39,1.09,0.0,0.11
5,coliformes,RF (Todas var.),31.79,0.73,0.32,0.51,51.9,1.08,0.01,0.12
6,coliformes,MLP (Todas var.),73.62,1.69,0.58,0.16,87.78,1.84,0.44,0.07
7,coliformes,LSTM (Todas var.),64.09,1.46,0.51,0.11,76.24,1.57,0.45,0.06
8,dbo,RL (Todas var.),18.18,0.22,0.0,0.25,17.29,0.22,0.0,0.18
9,dbo,RF (Todas var.),12.37,0.16,0.06,0.59,16.36,0.22,0.01,0.22
10,dbo,MLP (Todas var.),21.91,0.25,0.07,0.33,21.83,0.27,0.03,0.2
11,dbo,LSTM (Todas var.),21.58,0.25,0.05,0.24,20.64,0.25,0.03,0.15
12,fosforo,RL (Todas var.),58.58,0.1,0.0,0.09,172.47,0.12,0.0,0.13
13,fosforo,RF (Todas var.),39.44,0.07,0.03,0.52,171.51,0.12,0.0,0.12
14,fosforo,MLP (Todas var.),63.98,0.1,0.02,0.18,197.18,0.13,0.01,0.09
15,fosforo,LSTM (Todas var.),65.54,0.11,0.02,0.11,192.86,0.13,0.01,0.07
16,od,RL (Todas var.),13.79,0.11,0.0,0.07,14.38,0.11,0.0,0.11
17,od,RF (Todas var.),9.5,0.08,0.03,0.5,13.84,0.11,0.0,0.14
18,od,MLP (Todas var.),25.14,0.2,0.07,0.15,25.15,0.2,0.05,0.06
19,od,LSTM (Todas var.),20.62,0.16,0.07,0.08,21.27,0.17,0.06,0.05
20,solido,RL (Todas var.),2.51,0.08,0.0,0.19,2.44,0.08,0.0,0.14
21,solido,RF (Todas var.),1.72,0.06,0.02,0.56,2.44,0.08,0.0,0.13
22,solido,MLP (Todas var.),2.67,0.08,0.02,0.25,3.03,0.09,0.01,0.11
23,solido,LSTM (Todas var.),2.73,0.08,0.02,0.17,2.82,0.09,0.01,0.1
24,temperatura,RL (Todas var.),2.16,0.04,0.0,0.08,2.18,0.04,0.0,0.01
25,temperatura,RF (Todas var.),1.5,0.02,0.02,0.51,2.18,0.04,0.0,0.01
26,temperatura,MLP (Todas var.),2.34,0.04,0.01,0.14,2.43,0.04,0.0,0.01
27,temperatura,LSTM (Todas var.),2.31,0.04,0.01,0.09,2.32,0.04,0.0,0.01
28,turbidez,RL (Todas var.),12.22,0.21,0.0,0.03,14.21,0.24,0.0,0.0
29,turbidez,RF (Todas var.),8.44,0.14,0.06,0.49,13.98,0.24,0.0,0.01
30,turbidez,MLP (Todas var.),11.6,0.2,0.05,0.12,14.03,0.23,0.0,0.0
31,turbidez,LSTM (Todas var.),12.08,0.21,0.04,0.07,14.18,0.23,0.0,0.0
